Core,Latitude,Longitude,Water depth (m),Symbiosis,Spinose,Relative_Abundance
D11820#4,33.503,-22.625,5330,Yes,No,0.35
D11820#4,33.503,-22.625,5330,Yes,Yes,0.63
D11934#2,34.605,-12.893,4428,No,No,0.325
D11934#2,34.605,-12.893,4428,No,Yes,0.172
D11934#2,34.605,-12.893,4428,Yes,No,0.40299999999999997
D11934#2,34.605,-12.893,4428,Yes,Yes,0.428
D11935,34.427,-12.89,4415,No,No,0.3400000000000001
D11935,34.427,-12.89,4415,No,Yes,0.20199999999999999
D11935,34.427,-12.89,4415,Yes,No,0.25
D11935,34.427,-12.89,4415,Yes,Yes,0.5980000000000001
D11936#2,33.973,-12.79,4417,No,No,0.245
D11936#2,33.973,-12.79,4417,No,Yes,0.222
D11936#2,33.973,-12.79,4417,Yes,No,0.218
D11936#2,33.973,-12.79,4417,Yes,Yes,0.738
D11937,34.13,-13.393,4416,No,No,0.273
D11937,34.13,-13.393,4416,No,Yes,0.193
D11937,34.13,-13.393,4416,Yes,No,0.24500000000000002
D11937,34.13,-13.393,4416,Yes,Yes,0.7389999999999999
D11938,33.498,-13.22,4412,No,No,0.23399999999999999
D11938,33.498,-13.22,4412,No,Yes,0.217
D11938,33.498,-13.22,4412,Yes,No,0.27
D11938,33.498,-13.22,4412,Yes,Yes,0.675
D11939#3,33.492,-13.735,4420,No,No,0.21799999999999997
D11939#3,33.492,-13.735,4420,No,Yes,0.183
D11939#3,33.492,-13.735,4420,Yes,No,0.201
D11939#3,33.492,-13.735,4420,Yes,Yes,0.8720000000000002
D11939#5,33.497,-13.873,4420,No,No,0.235
D11939#5,33.497,-13.873,4420,No,Yes,0.221
D11939#5,33.497,-13.873,4420,Yes,No,0.27399999999999997
D11939#5,33.497,-13.873,4420,Yes,Yes,0.6700000000000002
D11940,33.048,-14.59,4298,No,No,0.22499999999999998
D11940,33.048,-14.59,4298,No,Yes,0.20199999999999999
D11940,33.048,-14.59,4298,Yes,No,0.258
D11940,33.048,-14.59,4298,Yes,Yes,0.71
D11941#1,35.732,-12.357,4830,No,No,0.317
D11941#1,35.732,-12.357,4830,No,Yes,0.177
